domain,label,latency,loss,delta_min,delta_mean,delta_max,jitter_min,jitter_mean,jitter_max,emodel
amelkot,4.5,11.86,0.001,0.0,20.025,427.797,0.091,5.922,24.252,4.422620348692755
amelkot,4.0,94.94,0.027999999999999997,6.823,20.571,2239.418,0.711,5.936,23.902,4.380471306901912
amelkot,3.0,155.67,0.049,6.838,21.036,2457.705,0.052,3.935,39.49,4.34493751672282
amelkot,3.0,257.78,0.09300000000000001,7.634,22.062,2399.888,0.627,4.285,63.084,3.9756878152147475
amelkot,4.0,406.63,0.135,6.904,23.115,2940.526,0.585,6.87,101.563,3.0279105276038742
amelkot,3.0,423.38,0.146,6.844,23.413,2659.842,0.694,7.878,103.033,2.9078378916543715
amelkot,3.0,260.16,0.098,7.48,22.17,2518.458,0.704,4.674,63.552,3.962264120951451
amelkot,3.0,154.66,0.055,6.728,21.167,2300.637,0.034,4.213,40.283,4.344875974061226
amelkot,4.0,82.36,0.03,1.152,20.618,2568.585,0.054,5.343,22.684,4.386749322301232
amelkot,4.0,10.78,0.0,7.555,20.0,33.092,0.045,4.777,6.675,4.423171861912488
amelkot,4.0,88.64,0.0,7.752,20.0,32.827,0.62,3.542,5.907,4.386409559782455
amelkot,4.0,411.55,0.0,6.686,19.998,32.939,0.645,4.509,6.527,3.024893445088449
amelkot,3.0,405.5,0.036000000000000004,7.64,20.755,2429.112,0.554,5.964,96.895,3.0587046916665277
amelkot,2.5,405.7,0.076,6.767,21.644,3049.533,0.694,6.236,101.392,3.0480219537833584
amelkot,2.5,34.05,0.07400000000000001,7.666,21.606,2369.489,0.604,5.876,7.134,4.406395514793248
amelkot,4.5,157.91,0.0,1.116,20.0,39.157,0.039,3.634,5.946,4.348918898944252
amelkot,4.0,155.5,0.033,6.921,20.681,2940.271,0.681,5.421,6.682,4.346757713833809
amelkot,4.0,95.61,0.051,2.282,21.07,2259.338,0.057,5.936,23.546,4.377882164938842
amelkot,2.5,81.3,0.07200000000000001,6.704,21.539,2408.979,0.626,5.34,23.798,4.38329221622788
amelkot,3.0,79.47,0.11199999999999999,6.597,22.512,2599.902,0.01,4.368,22.633,4.380410696350346
amelkot,4.5,274.61,0.0,6.721,20.0,33.997,0.083,5.539,6.846,3.9018629525056863
amelkot,4.5,160.82,0.028999999999999998,7.654,20.592,2537.862,0.409,3.963,5.928,4.344113468671326
amelkot,4.0,255.05,0.061,6.941,21.308,2869.223,0.616,4.939,62.31,3.9954556956322502
amelkot,2.5,293.67,0.10099999999999999,7.673,22.238,2320.138,0.124,4.968,100.995,3.7741768998299103
amelkot,3.0,155.31,0.091,7.675,22.011,2648.945,0.626,6.131,40.736,4.340609487893811
amelkot,4.0,10.71,0.026000000000000002,1.127,20.529,2320.906,0.593,5.336,7.004,4.421076917567851
amelkot,4.0,30.26,0.049,7.539,21.034,2440.84,0.693,5.8,8.158,4.410329936533695
amelkot,3.0,21.47,0.095,6.825,22.093,2307.782,0.019,5.902,7.934,4.410448795801585
amelkot,2.5,377.21,0.136,1.19,23.155,3761.505,0.055,5.735,101.129,3.2311154865253116
amelkot,2.5,269.52,0.132,6.731,23.047,3201.681,0.696,6.567,66.59,3.9057131135636323
amelkot,3.0,80.47,0.115,1.171,22.6,2697.045,0.048,6.035,24.556,4.3796017939175345
amelkot,2.5,84.51,0.078,6.628,21.7,2280.977,0.001,5.945,22.544,4.381057748439021
amelkot,3.0,97.32,0.057,6.781,21.202,2697.699,0.051,5.348,22.983,4.3763959331416435
amelkot,3.0,160.87,0.034,7.682,20.697,2670.626,0.143,3.748,37.939,4.343542636016429
amelkot,4.5,155.67,0.0,6.728,19.998,32.883,0.104,5.834,6.709,4.350199620320099
amelkot,2.5,10.0,0.07400000000000001,0.0,21.607,2470.143,0.625,5.9,15.889,4.4174322455735595
amelkot,3.0,442.73,0.10300000000000001,6.794,22.293,3311.748,0.637,7.059,103.643,2.7813076304429325
amelkot,3.0,404.81,0.045,7.643,20.951,3140.094,0.018,6.177,101.581,3.0614194852394054
amelkot,4.0,405.81,0.0,6.892,19.998,33.659,0.122,5.761,6.576,3.0649452963982236
amelkot,4.5,80.65,0.0,7.624,20.0,33.013,0.011,3.542,5.881,4.390448344239139
amelkot,4.5,20.33,0.0,0.005,19.998,54.025,0.02,6.458,9.503,4.418977660566652
amelkot,4.0,87.68,0.032,6.778,20.668,2891.408,0.102,5.913,22.859,4.383838526524455
amelkot,4.0,154.71,0.057,6.502,21.212,2519.972,0.053,5.371,40.379,4.344631612133137
amelkot,3.0,283.57,0.10400000000000001,6.958,22.333,3418.588,0.019,5.556,65.497,3.8321486285618285
amelkot,2.5,437.34,0.145,1.216,23.399,3150.51,0.058,6.904,102.117,2.809601713370949
amelkot,2.5,406.2,0.145,6.655,23.383,3270.048,0.019,7.464,103.28,3.028616879879384
amelkot,3.0,257.66,0.09699999999999999,6.76,22.137,2448.872,0.029,5.869,64.663,3.9756225088206616
amelkot,3.0,156.09,0.055,6.577,21.157,2420.089,0.631,4.38,38.848,4.34404703672666
amelkot,4.0,81.46,0.028999999999999998,7.516,20.605,2490.6,0.65,5.909,22.801,4.3873014556773215
amelkot,4.5,18.72,0.0,7.701,20.0,33.069,0.034,5.616,6.759,4.419691003310006
amelkot,4.5,174.94,0.0,7.749,20.0,33.022,0.074,5.783,6.678,4.3390352784033075
amelkot,4.0,157.28,0.036000000000000004,6.978,20.751,2626.873,0.509,6.123,41.234,4.345407359043431
amelkot,4.0,80.1,0.057999999999999996,6.772,21.221,2629.335,0.593,5.777,22.792,4.385242006580586
amelkot,3.0,88.63,0.091,7.709,21.997,2740.048,0.679,6.109,24.547,4.377650727345615
amelkot,3.0,87.43,0.11599999999999999,7.034,22.613,2590.906,0.057,3.623,21.996,4.375851934542397
amelkot,3.0,269.77,0.145,6.682,23.383,3770.601,0.015,4.506,65.086,3.90198838893143
amelkot,3.0,412.74,0.13699999999999998,7.672,23.183,2841.38,0.489,4.951,100.206,2.9846830179748256
amelkot,3.0,13.23,0.07400000000000001,7.644,21.587,2438.354,0.645,5.731,7.369,4.415982574032553
amelkot,3.0,9.97,0.05,7.685,21.052,2359.561,0.036,4.13,6.76,4.419429877864893
amelkot,4.0,14.29,0.038,0.001,20.799,3383.25,0.686,7.376,33.794,4.418504501452213
amelkot,4.0,76.71,0.11699999999999999,1.025,22.655,2808.748,0.528,6.231,24.024,4.3813652646804435
amelkot,3.0,80.92,0.065,0.001,21.394,2879.578,0.129,6.822,32.432,4.384155535818708
amelkot,4.0,117.16,0.05,1.139,21.054,2532.334,0.042,3.728,21.44,4.3664636802915915
amelkot,4.5,170.38,0.03,6.546,20.611,2732.101,0.007,5.404,40.6,4.338416042931119
amelkot,3.0,157.91,0.0,6.902,20.0,33.006,0.014,4.956,6.626,4.348918898944252
amelkot,2.0,186.38,0.087,7.586,21.912,2989.563,0.676,5.531,40.985,4.296216247059539
amelkot,3.0,322.5,0.14300000000000002,7.606,23.34,2378.464,0.02,6.626,102.219,3.590018461043877
amelkot,2.5,267.85,0.064,6.691,21.376,2577.747,0.016,5.447,65.894,3.927099487567927
amelkot,4.0,184.79,0.025,7.643,20.517,2227.913,0.031,5.512,23.574,4.3092619541097275
amelkot,4.0,136.62,0.0,6.839,20.0,33.197,0.013,4.898,6.688,4.360908653470539
amelkot,4.5,10.86,0.0,6.831,20.0,32.525,0.035,3.887,6.118,4.423137098663904
amelkot,4.0,95.22,0.031,7.716,20.632,2519.467,0.036,3.775,21.35,4.3800341625604675
amelkot,3.0,196.05,0.062,6.73,21.328,2891.139,0.017,4.016,39.273,4.263214503180276
amelkot,3.0,276.66,0.099,6.854,22.208,3051.325,0.473,4.464,62.374,3.872170611532439
amelkot,2.5,435.06,0.133,6.68,23.073,3039.139,0.012,7.26,102.645,2.828489445186679
amelkot,4.0,80.33,0.0,6.608,20.0,32.903,0.022,3.666,5.745,4.390608847538697
amelkot,4.5,420.37,0.0,6.7,20.0,32.888,0.718,5.82,6.582,2.9631041508534586
amelkot,3.0,393.15,0.032,7.324,20.665,2398.942,0.07,3.791,99.231,3.145328801258385
amelkot,3.0,405.34,0.07200000000000001,6.584,21.559,2660.031,0.011,6.575,99.988,3.051459547402709
amelkot,2.5,14.89,0.08800000000000001,7.461,21.934,2980.402,0.641,4.406,6.324,4.414058063235165
amelkot,2.0,404.8,0.16899999999999998,6.73,24.051,2911.202,0.583,6.522,100.968,3.0328964309152973
amelkot,3.0,256.31,0.12300000000000001,6.954,22.802,2869.573,0.66,5.333,66.321,3.9781978364386776
amelkot,3.0,154.69,0.067,7.694,21.442,2710.658,0.041,4.787,51.24,4.343565301060171
amelkot,4.0,79.84,0.026000000000000002,1.149,20.525,2239.997,0.004,4.875,6.638,4.388405856593056
amelkot,4.5,46.24,0.0,7.706,19.998,32.831,0.008,4.488,6.569,4.4071511273624875
amelkot,4.5,22.03,0.0,7.704,19.998,32.506,0.029,4.941,6.659,4.418221693223114
amelkot,4.5,87.1,0.027000000000000003,1.064,20.557,2722.165,0.054,4.958,23.042,4.384615226642376
amelkot,2.5,406.07,0.149,1.014,23.497,2929.405,0.68,7.112,102.866,3.0286068856057207
amelkot,4.5,29.23,0.026000000000000002,7.699,20.541,2359.987,0.558,5.211,6.651,4.412775445579917
amelkot,4.5,11.24,0.05,6.835,21.039,2419.183,0.064,4.99,6.579,4.41886665764546
amelkot,3.0,10.11,0.076,0.001,21.64,2377.699,0.654,5.83,8.276,4.417217086635037
amelkot,2.5,554.14,0.139,0.0,23.224,3049.473,0.62,7.153,102.336,2.0070244780949986
amelkot,3.0,257.87,0.145,6.779,23.394,3442.047,0.142,5.296,64.777,3.9661785549938995
amelkot,4.5,154.76,0.0,6.867,19.997,33.077,0.02,5.625,6.685,4.350718626312297
amelkot,4.0,192.45,0.03,1.209,20.61,2279.711,0.0,5.683,39.877,4.280891798381926
amelkot,4.0,107.2,0.055,7.499,21.17,2589.221,0.089,5.053,23.45,4.37134119244496
amelkot,2.5,110.2,0.084,6.662,21.839,2579.856,0.677,4.489,21.437,4.36681641892643
amelkot,3.0,84.2,0.113,6.784,22.542,2810.277,0.534,5.052,22.878,4.377843430043043
amelkot,2.5,40.86,0.10099999999999999,7.714,22.258,2569.135,0.627,4.626,7.262,4.400773329567892
amelkot,3.0,438.89,0.07400000000000001,6.621,21.604,3059.771,0.001,6.155,101.266,2.8152221019868997
amelkot,2.0,406.07,0.034,6.667,20.703,2068.487,0.07,5.976,99.137,3.055197290803311
amelkot,3.0,421.18,0.0,6.615,19.998,33.117,0.055,5.371,6.769,2.9574166883606035
amelkot,4.5,94.97,0.0,0.0,20.0,41.515,0.427,5.828,8.942,4.38316738172956
amelkot,4.5,255.27,0.0,6.71,19.998,33.245,0.01,4.287,6.634,4.004838901338462
amelkot,4.0,178.34,0.025,6.797,20.521,2178.328,0.014,5.839,22.631,4.331409886692797
amelkot,3.0,253.41,0.057,6.624,21.215,2079.734,0.474,6.218,63.713,4.004602222601603
amelkot,2.5,296.85,0.105,6.931,22.336,2569.341,0.196,6.574,102.338,3.754629561825476
amelkot,2.0,156.79,0.08199999999999999,6.83,21.797,2799.8,0.072,5.26,41.168,4.340718320470947
amelkot,2.0,436.9,0.152,6.678,23.57,3539.761,0.576,6.003,103.033,2.8110852042871155
amelkot,2.5,255.67,0.10099999999999999,6.836,22.241,3241.541,0.542,4.737,65.732,3.9853407713857893
amelkot,4.0,167.1,0.05,6.64,21.048,1959.795,0.048,5.876,41.452,4.338152349675749
amelkot,4.0,152.19,0.025,7.592,20.518,2117.816,0.053,5.101,21.616,4.349514804268856
amelkot,4.5,33.55,0.0,6.909,19.998,32.728,0.506,5.604,6.79,4.4130247388015285
amelkot,4.5,101.01,0.0,0.0,20.033,172.387,0.686,4.975,13.428,4.380038864024115
amelkot,4.5,468.89,0.0,7.689,19.995,32.988,0.597,4.333,6.63,2.6208149079104555
amelkot,3.0,517.17,0.033,6.672,20.688,2129.057,0.708,4.789,96.464,2.27697854940371
amelkot,2.5,503.64,0.107,7.286,22.396,3509.233,0.539,5.3,102.305,2.3530359435094512
amelkot,2.0,52.22,0.067,6.519,21.426,2380.09,0.077,4.64,6.598,4.398321008759727
amelkot,2.0,412.42,0.153,7.622,23.622,3150.354,0.069,6.242,99.953,2.9832396570092063
amelkot,2.5,254.8,0.098,7.615,22.176,2871.296,0.576,5.27,64.703,3.9903850278064175
amelkot,2.0,212.1,0.085,1.124,21.848,2850.294,0.597,5.994,42.121,4.1949991367390895
amelkot,4.0,143.21,0.025,7.675,20.522,2130.781,0.612,5.39,23.324,4.354613500327569
amelkot,4.5,18.78,0.0,0.0,19.997,40.562,0.004,5.869,8.353,4.419664464560011
amelkot,4.5,25.3,0.0,7.714,19.996,32.802,0.497,4.457,6.557,4.416759640518709
amelkot,4.5,141.71,0.025,7.653,20.524,2050.606,0.021,4.454,22.762,4.355458091135489
amelkot,3.0,263.73,0.135,6.689,23.13,3260.713,0.71,5.485,65.024,3.936667139862461
amelkot,2.0,452.46,0.155,1.025,23.665,3862.356,0.101,6.488,99.979,2.700454820839097
amelkot,2.5,14.66,0.07400000000000001,7.447,21.589,2457.762,0.048,5.727,7.399,4.415337526040829
amelkot,3.0,406.74,0.066,7.594,21.42,3270.587,0.056,6.054,100.194,3.0430838969786795
amelkot,3.0,408.35,0.035,6.86,20.726,3111.15,0.078,5.519,99.498,3.0390578926865803
amelkot,4.0,431.97,0.0,1.204,20.0,37.697,0.003,4.409,6.548,2.8814895549638466
amelkot,4.5,137.15,0.0,7.59,19.998,32.996,0.599,4.586,6.606,4.360615156047067
amelkot,4.5,166.38,0.0,1.13,19.998,40.922,0.024,5.816,8.832,4.344035542532228
amelkot,4.0,167.24,0.031,7.631,20.645,2810.424,0.047,4.462,6.696,4.340151345473889
amelkot,4.0,105.33,0.08199999999999999,6.661,21.794,2408.352,0.185,5.8,23.042,4.369653043989679
amelkot,3.0,88.16,0.079,6.941,21.707,2550.631,0.663,4.62,23.297,4.379060548841435
amelkot,3.0,154.42,0.092,6.736,22.014,2929.963,0.004,4.865,23.666,4.341022112749124
amelkot,2.5,246.92,0.124,6.469,22.838,2822.114,0.017,5.12,67.241,4.026373362858821
amelkot,3.0,453.6,0.142,6.749,23.313,2821.771,0.667,6.557,99.374,2.6954189556645027
amelkot,4.0,31.44,0.076,7.564,21.637,2508.807,0.653,5.241,7.371,4.4074466757359
amelkot,4.0,20.27,0.057,7.491,21.199,2521.467,0.613,5.31,6.71,4.414226159855561
amelkot,4.5,37.58,0.024,7.655,20.5,2228.425,0.636,5.592,7.211,4.409097477753335
amelkot,4.5,114.49,0.0,6.542,19.999,33.592,0.596,5.198,6.844,4.372934509786984
amelkot,4.5,422.92,0.0,6.93,20.0,34.9,0.059,5.471,6.784,2.945192668022396
amelkot,3.0,405.33,0.032,6.632,20.661,1960.084,0.072,6.103,99.938,3.0608206829075684
amelkot,3.0,489.54,0.069,6.412,21.478,2819.459,0.024,6.094,102.796,2.459691216258836
amelkot,2.5,46.42,0.077,7.695,21.669,2511.76,0.094,4.747,6.781,4.400233438375614
amelkot,4.0,206.63,0.0,6.995,19.996,40.784,0.667,4.838,6.992,4.229569978070894
amelkot,4.0,155.05,0.027999999999999997,6.766,20.586,2618.517,0.552,4.41,6.739,4.347553772879945
amelkot,4.0,118.02,0.064,7.553,21.36,2670.951,0.551,4.886,23.72,4.364573438820989
amelkot,3.0,100.02,0.086,6.635,21.888,3000.894,0.036,5.255,24.446,4.372105840837041
amelkot,3.0,81.46,0.12,0.983,22.736,2880.595,0.185,5.981,23.592,4.378603261787818
amelkot,2.5,220.22,0.08900000000000001,7.537,21.955,3141.69,0.063,4.917,39.154,4.159025544216807
amelkot,3.0,286.0,0.107,0.0,22.393,2500.155,0.002,5.666,101.485,3.8176398078394045
amelkot,4.0,271.58,0.073,7.716,21.574,3240.122,0.049,5.711,64.387,3.905116515346467
amelkot,4.5,161.2,0.031,6.93,20.636,2879.409,0.615,4.816,6.756,4.343676129977352
amelkot,4.5,294.81,0.0,6.72,19.998,32.928,0.041,5.255,6.649,3.7872202550383913
amelkot,3.0,10.81,0.0,0.001,20.0,263.95,1.43,5.424,19.721,4.4231588264310435
amelkot,4.5,80.41,0.027000000000000003,7.628,20.562,2278.054,0.7,5.028,22.474,4.388023017651585
amelkot,4.0,178.77,0.055,7.609,21.153,2178.474,0.632,5.135,40.545,4.326592111102883
amelkot,3.0,260.79,0.099,7.683,22.196,2858.101,0.71,4.934,64.046,3.95874717215762
amelkot,2.0,413.13,0.17800000000000002,6.986,24.318,2911.48,0.72,6.562,100.928,2.9725142135920133
amelkot,2.5,404.12,0.14,7.752,23.254,3229.499,0.63,6.125,100.945,3.0442891742712224
amelkot,3.0,320.86,0.121,7.693,22.75,2960.868,0.023,6.387,66.088,3.60487594777149
amelkot,2.5,202.75,0.051,7.544,21.063,2380.223,0.687,4.924,39.493,4.238338923088999
amelkot,4.0,104.64,0.031,6.535,20.646,2728.377,0.114,5.53,6.667,4.375087167458879
amelkot,4.5,16.54,0.0,7.613,20.0,32.451,0.583,4.562,6.568,4.420652856216693
amelkot,4.0,292.93,0.0,7.718,20.0,32.875,0.649,4.252,6.758,3.7981737573370156
amelkot,4.5,159.19,0.027000000000000003,6.628,20.554,2279.395,0.636,5.812,22.154,4.345274093259012
amelkot,4.0,261.28,0.067,6.708,21.44,2468.951,0.154,5.201,63.672,3.961778364246884
amelkot,3.0,307.01,0.10400000000000001,7.447,22.308,3310.559,0.614,6.23,101.725,3.69384870682146
amelkot,3.0,160.22,0.099,1.071,22.196,2780.518,0.073,5.821,39.576,4.336850247298303
amelkot,4.5,22.58,0.032,7.572,20.657,2880.058,0.123,4.504,6.613,4.415289140930738
amelkot,4.5,40.88,0.077,6.894,21.659,2739.756,0.029,4.563,6.811,4.402894002055692
amelkot,3.0,19.73,0.059000000000000004,7.54,21.242,3151.383,0.527,5.008,6.585,4.414302551627106
amelkot,4.0,413.04,0.14300000000000002,7.678,23.33,3599.934,0.0,6.377,102.401,2.9811959519601183
amelkot,3.0,256.29,0.13699999999999998,1.115,23.163,2960.27,0.683,5.594,65.547,3.975884327062607
amelkot,2.5,27.23,0.076,7.63,21.652,2587.058,0.622,4.798,6.496,4.409409958835201
amelkot,2.5,438.43,0.071,5.519,21.534,2629.772,0.019,5.561,99.262,2.819174306164877
amelkot,3.0,409.97,0.034,6.732,20.711,3031.245,0.509,4.593,101.412,3.0279762175288623
amelkot,4.0,406.42,0.0,7.683,20.0,33.039,0.679,5.644,6.627,3.0606956497376503
amelkot,4.0,100.49,0.0,6.66,19.998,32.88,0.061,4.516,6.675,4.380309543164984
amelkot,4.5,64.31,0.0,7.64,19.999,32.587,0.517,5.427,6.631,4.398520353312732
amelkot,4.5,116.77,0.023,6.586,20.48,1948.326,0.022,4.944,21.134,4.369402969553338
amelkot,4.0,182.15,0.055999999999999994,6.762,21.196,2379.763,0.595,4.292,40.534,4.314879152829131
amelkot,3.0,311.26,0.087,6.815,21.898,2871.802,0.034,5.089,67.243,3.671352752451484
amelkot,2.0,413.44,0.14300000000000002,6.901,23.328,2689.03,0.01,6.946,99.804,2.9783908311006937
amelkot,2.5,154.98,0.084,6.89,21.824,2438.197,0.641,4.986,39.21,4.341560147072942
amelkot,2.0,293.36,0.122,6.817,22.766,3500.844,0.552,6.485,104.341,3.771921600985495
amelkot,3.0,275.89,0.057999999999999996,7.479,21.218,2280.224,0.14,6.039,64.81,3.8840563218276194
amelkot,4.0,195.9,0.031,5.57,20.644,2679.098,0.832,5.303,21.684,4.2677512862482745
amelkot,4.0,256.32,0.0,6.77,19.998,33.705,0.004,5.048,6.735,3.999431038970484
amelkot,3.0,287.13,0.127,6.741,22.913,3001.438,0.548,5.667,66.54,3.807308022250067
amelkot,3.0,408.14,0.139,6.843,23.241,3310.358,0.624,5.914,101.182,3.016433863475018
amelkot,4.0,10.08,0.085,0.0,21.847,2510.261,0.604,5.86,8.718,4.416482715140631
amelkot,4.5,10.78,0.054000000000000006,7.809,21.153,2620.089,0.629,5.298,6.527,4.418740406832395
amelkot,4.5,12.37,0.0,7.732,19.998,37.857,0.067,4.82,6.824,4.4224797634278525
aturaga,4.5,10.88,0.0,7.433,19.998,32.652,0.599,4.878,6.491,4.423128406869406
aturaga,4.0,82.21,0.031,6.488,20.645,2739.912,0.451,5.983,24.806,4.386730683309913
aturaga,3.0,157.92,0.08800000000000001,2.185,21.934,3351.443,0.146,5.979,42.328,4.3394043052889675
aturaga,2.5,258.82,0.11800000000000001,7.666,22.674,3960.092,0.052,3.828,63.709,3.9658571652236656
aturaga,3.0,392.43,0.145,6.815,23.395,3152.509,0.005,5.076,99.402,3.1244112005653637
aturaga,2.5,409.1,0.14800000000000002,6.636,23.471,3670.025,0.62,5.141,99.122,3.0076470513940934
aturaga,2.5,261.11,0.11900000000000001,7.698,22.691,3371.341,0.077,4.28,63.803,3.953529773026802
aturaga,2.5,155.04,0.07200000000000001,1.209,21.558,3621.966,0.01,6.138,42.647,4.342822086198543
aturaga,4.0,82.95,0.034,6.678,20.697,2929.73,0.552,3.697,22.202,4.386068777713342
aturaga,3.0,10.81,0.0,6.955,20.0,32.575,0.632,4.792,6.54,4.4231588264310435
aturaga,4.0,82.8,0.0,7.646,19.998,33.038,0.627,5.033,6.523,4.389367462867113
aturaga,4.0,407.4,0.0,7.683,20.0,33.163,0.009,3.177,5.45,3.0538648861374735
aturaga,4.0,405.85,0.040999999999999995,5.354,20.864,3700.896,0.545,4.976,101.134,3.055101364518868
aturaga,3.0,406.0,0.086,7.481,21.888,3880.316,0.616,5.441,102.03,3.0436137821780997
aturaga,4.0,10.65,0.107,6.194,22.392,4431.862,0.01,3.831,6.327,4.414389081712394
aturaga,4.0,154.98,0.0,0.0,19.999,70.714,0.197,3.222,8.064,4.350593220537837
aturaga,3.0,155.27,0.04,6.506,20.84,3290.761,0.399,5.957,40.966,4.346137657412093
aturaga,4.0,95.72,0.09699999999999999,4.542,22.153,5740.125,0.141,5.981,24.268,4.373314781332748
aturaga,3.0,82.64,0.14,6.543,23.242,4000.34,0.022,6.07,25.129,4.376049815997368
aturaga,4.0,79.72,0.153,7.567,23.621,4398.53,0.688,5.27,22.605,4.376332029915232
aturaga,4.0,255.87,0.0,1.052,19.999,41.785,0.121,3.363,5.605,4.001751350485794
aturaga,4.0,167.89,0.038,7.311,20.792,2899.482,0.07,5.491,62.368,4.3390030748836725
aturaga,4.0,255.32,0.073,7.732,21.572,2979.952,0.636,6.316,66.55,3.991988888554149
aturaga,3.0,289.35,0.113,6.829,22.552,4021.412,0.142,3.712,39.066,3.797110150525754
aturaga,3.0,155.73,0.11,6.464,22.484,3240.013,0.03,6.132,41.956,4.338301600325995
aturaga,4.0,10.5,0.037000000000000005,0.0,20.747,3358.452,1.25,3.764,6.421,4.420265886167029
aturaga,4.0,10.38,0.07400000000000001,7.561,21.601,3698.773,0.439,4.104,6.227,4.41726222347195
aturaga,4.0,21.97,0.098,7.549,22.18,3451.15,0.684,5.801,6.897,4.409960939509379
aturaga,3.0,361.96,0.171,7.66,23.906,3848.726,0.053,4.609,98.518,3.326647640760858
aturaga,3.0,270.18,0.165,0.0,23.947,3540.014,0.048,3.91,63.657,3.896110747395542
aturaga,4.0,80.5,0.139,7.588,23.223,3089.111,0.014,3.478,21.684,4.377273829118741
aturaga,3.0,79.72,0.102,7.72,22.263,3319.782,0.185,3.293,19.954,4.381239292465229
aturaga,4.0,86.19,0.075,7.836,21.611,3348.157,0.059,3.499,22.224,4.3804739168164915
aturaga,3.0,155.7,0.048,7.59,21.011,4000.127,0.005,3.241,38.297,4.345027905400337
aturaga,4.0,155.65,0.0,7.554,19.997,32.904,0.013,4.878,6.516,4.3502110350413465
aturaga,3.0,10.19,0.09300000000000001,7.661,22.05,3128.475,0.683,5.242,7.55,4.41576698222724
aturaga,3.0,392.83,0.094,7.665,22.074,4640.426,0.5,4.276,100.295,3.1332855600093876
aturaga,4.0,405.41,0.047,6.936,20.978,4169.396,0.516,3.896,102.951,3.056773213933052
aturaga,4.0,405.76,0.0,7.681,20.0,33.298,0.004,3.149,5.407,3.065293553852334
aturaga,4.0,80.68,0.0,6.695,20.0,33.779,0.064,3.587,5.716,4.390433292109953
aturaga,4.5,20.31,0.002,0.002,19.994,62.454,1.25,5.182,12.047,4.418820054893316
aturaga,4.0,87.79,0.046,6.464,20.956,4071.313,0.588,4.059,21.562,4.382437312787107
aturaga,4.0,155.14,0.071,6.666,21.525,2988.934,0.44,3.74,38.353,4.342871866509793
aturaga,3.0,255.7,0.115,6.776,22.591,3961.0,0.555,4.672,66.124,3.982769920616429
aturaga,3.0,408.5,0.16399999999999998,7.421,23.933,3901.017,0.002,4.986,100.205,3.0081717650340423
aturaga,3.0,406.14,0.157,7.566,23.734,3892.605,0.004,6.978,102.435,3.026282442385116
aturaga,3.0,259.9,0.109,6.64,22.448,3349.846,0.55,5.632,64.344,3.9617143634981082
aturaga,3.0,156.11,0.084,6.848,21.827,3830.348,0.002,3.416,39.54,4.340899524210348
aturaga,4.0,81.55,0.04,6.59,20.838,3480.638,0.647,4.633,21.185,4.386212117095237
aturaga,4.5,18.81,0.0,7.67,20.0,32.849,0.038,3.742,5.745,4.419651193865054
aturaga,4.5,162.29,0.0,0.0,19.984,33.584,1.232,3.215,5.585,4.346401633274241
aturaga,4.0,157.35,0.034,7.719,20.699,2690.433,0.063,3.297,38.276,4.3455825420911625
aturaga,3.0,80.16,0.10099999999999999,7.607,22.253,5389.489,0.047,5.901,22.534,4.3811068499832855
aturaga,4.0,88.18,0.109,7.814,22.434,3260.23,0.135,3.419,21.689,4.376137398637871
aturaga,3.0,80.5,0.14800000000000002,7.589,23.477,3339.413,0.487,3.616,21.331,4.376404163361781
aturaga,3.0,255.24,0.161,7.707,23.837,3760.543,0.005,4.229,63.497,3.9772569124917982
aturaga,2.5,408.84,0.162,7.719,23.87,3790.944,0.526,5.942,101.681,3.0062509228048655
aturaga,4.5,19.62,0.099,7.564,22.191,3138.127,0.578,5.775,7.045,4.41096152961787
aturaga,4.5,10.01,0.057999999999999996,7.611,21.236,3100.977,0.016,3.819,5.799,4.418752070317466
aturaga,4.5,14.27,0.001,0.0,20.029,171.81,0.197,5.774,29.721,4.421567351402072
aturaga,3.0,76.97,0.14,0.0,23.192,3648.454,1.25,3.394,21.608,4.379027758349796
aturaga,3.0,80.61,0.08199999999999999,0.0,21.783,2380.275,0.013,7.258,33.822,4.382692422544955
aturaga,4.0,117.16,0.039,6.758,20.814,3190.303,0.582,3.774,38.2,4.367576925017256
aturaga,4.5,171.2,0.0,6.898,20.0,32.665,0.014,3.373,5.765,4.341227990261347
aturaga,2.5,158.61,0.11800000000000001,6.651,22.67,3611.076,0.061,4.173,39.201,4.335728010160141
aturaga,3.0,155.15,0.115,6.615,22.604,3600.02,0.764,4.732,40.644,4.338100126655318
aturaga,3.0,316.07,0.084,0.0,21.845,3779.999,0.006,3.918,62.99,3.642341244511235
aturaga,4.0,254.56,0.045,1.117,20.944,3569.223,0.624,4.766,63.81,4.000740613935363
aturaga,4.5,170.14,0.0,6.89,19.998,33.767,0.746,3.913,6.258,4.341847193126887
aturaga,4.5,11.0,0.0,0.0,19.984,32.613,1.25,4.882,6.555,4.423076247851008
aturaga,4.5,96.76,0.038,6.783,20.801,3250.489,0.01,3.364,20.583,4.378548373131682
aturaga,4.0,170.09,0.077,7.658,21.666,3298.409,0.006,3.643,39.225,4.333406999158816
aturaga,4.0,255.43,0.10800000000000001,6.751,22.421,3281.248,0.663,5.178,65.353,3.9853853640808485
aturaga,2.5,412.05,0.138,7.56,23.205,3270.049,0.009,4.593,97.843,2.9892888543872824
aturaga,4.0,80.31,0.0,7.743,20.0,32.976,0.006,3.153,5.685,4.390618875792297
